"INS_INF","INFORMANTE","RESPONSAVEL_BP","COLETOR","NM_INFORMANTE","INSUMO","NM_INSUMO","CARACT_INSUMO","MARCA","PAIS","REGIAO","UF","MUNICIPIO","COTACAO","SAZONALIDADE","TIPO_ESTABELECIMENTO","TP_PRECO","PERIODICIDADE","JOB_UTILIZADO","ITEM_UTILIZADO","DATA_PRECO","PRECO"
695629,42172,ANMEL,ANMEL,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2023-11-16 00:00:00.000,9.89
695629,42172,ANMEL,GALAA,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2023-10-26 00:00:00.000,9.99
695629,42172,ANMEL,ANMEL,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2023-05-16 00:00:00.000,9.98
695629,42172,ANMEL,GISOU,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2022-11-16 00:00:00.000,6.99
695629,42172,ANMEL,GISOU,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2022-06-16 00:00:00.000,9.79
695629,42172,ANMEL,MOMAT,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2022-01-16 00:00:00.000,8.98
695629,42172,ANMEL,MOMAT,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2021-11-06 00:00:00.000,8.98
695629,42172,ANMEL,MOMAT,[BIG BOX] - BIG TRANS COMERCIAL DE ALIMENTOS LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M6,IPC,"110371001",2021-11-16 00:00:00.000,8.99
214013,15317,GISOU,GISOU,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2023-11-17 00:00:00.000,10
214013,15317,GISOU,GISOU,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2023-05-27 00:00:00.000,10
214013,15317,GISOU,ANMEL,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-12-27 00:00:00.000,8
214013,15317,GISOU,PALOP,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-10-27 00:00:00.000,8
214013,15317,GISOU,ROSOU,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-08-17 00:00:00.000,9.99
214013,15317,GISOU,ROSOU,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-07-07 00:00:00.000,9.8
214013,15317,GISOU,ROSOU,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-07-17 00:00:00.000,9.8
214013,15317,GISOU,SASIQ,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-05-27 00:00:00.000,12.9
214013,15317,GISOU,SASIQ,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-03-17 00:00:00.000,9.8
214013,15317,GISOU,SASIQ,CASA DE CARNE 710 NORTE,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,"FRIGORÍFICOS,AÇOUGUES,PEIXARIAS E CASAS DE FRANGOS",VV,M7,IPC,"110371001",2022-02-27 00:00:00.000,9.8
220242,15051,GISOU,GISOU,VAREJÃO OBA - HORTIFRUTI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M01,IPC,"110371001",2023-06-01 00:00:00.000,9.99
220242,15051,GISOU,GISOU,VAREJÃO OBA - HORTIFRUTI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M01,IPC,"110371001",2023-05-01 00:00:00.000,9.99
220242,15051,GISOU,GISOU,VAREJÃO OBA - HORTIFRUTI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M01,IPC,"110371001",2022-12-01 00:00:00.000,7.99
220242,15051,GISOU,MCBAR,VAREJÃO OBA - HORTIFRUTI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M01,IPC,"110371001",2022-06-01 00:00:00.000,12.99
220242,15051,GISOU,MCBAR,VAREJÃO OBA - HORTIFRUTI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M01,IPC,"110371001",2022-01-01 00:00:00.000,7.99
219789,14928,GISOU,GISOU,CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,"110371001",2023-05-11 00:00:00.000,10.99
219789,14928,GISOU,GISOU,CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,"110371001",2023-04-11 00:00:00.000,7.99
219789,14928,GISOU,GISOU,CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,"110371001",2022-10-11 00:00:00.000,5.99
219789,14928,GISOU,MCBAR,CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M1,IPC,"110371001",2022-03-21 00:00:00.000,11.99
1542123,90996,GISOU,GISOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2023-08-23 00:00:00.000,8.99
1542123,90996,GISOU,GISOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2023-06-23 00:00:00.000,7.99
1542123,90996,GISOU,GISOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2023-05-23 00:00:00.000,12.99
1542123,90996,GISOU,GISOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2023-01-13 00:00:00.000,7.99
1542123,90996,GISOU,GISOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2022-10-13 00:00:00.000,9.99
1542123,90996,GISOU,GISOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2022-09-23 00:00:00.000,5.99
1542123,90996,GISOU,GISOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2022-09-13 00:00:00.000,5.99
1542123,90996,GISOU,MAANN,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2022-06-13 00:00:00.000,8.59
1542123,90996,GISOU,APSOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2022-05-23 00:00:00.000,8.59
1542123,90996,GISOU,APSOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2022-02-23 00:00:00.000,6.99
1542123,90996,GISOU,APSOU,BRUNELA COMERCIAL DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M3,IPC,"110371001",2022-01-23 00:00:00.000,7.98
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2023-10-19 00:00:00.000,9.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2023-09-19 00:00:00.000,9.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2023-08-09 00:00:00.000,9.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2023-08-19 00:00:00.000,9.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2023-07-29 00:00:00.000,11.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2023-07-19 00:00:00.000,11.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2023-04-09 00:00:00.000,8.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2022-09-19 00:00:00.000,7.99
1542408,63818,GISOU,GISOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2022-07-09 00:00:00.000,8.99
1542408,63818,GISOU,APSOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2022-04-29 00:00:00.000,13.49
1542408,63818,GISOU,APSOU,CIA BRASILEIRA DE DISTRIBUIÇÃO,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M9,IPC,"110371001",2022-02-28 00:00:00.000,7.79
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-11-16 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-09-26 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-09-16 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-09-06 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-07-06 00:00:00.000,9.99
241484,16342,GISOU,PALOP,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-06-06 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-02-16 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-01-16 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2023-01-26 00:00:00.000,9.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2022-10-06 00:00:00.000,6.99
241484,16342,GISOU,GISOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2022-09-16 00:00:00.000,7.29
241484,16342,GISOU,ROSOU,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2022-06-26 00:00:00.000,8.29
241484,16342,GISOU,MOMAT,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2022-05-06 00:00:00.000,11.49
241484,16342,GISOU,MOMAT,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2022-04-16 00:00:00.000,12.99
241484,16342,GISOU,MOMAT,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2022-03-16 00:00:00.000,12.99
241484,16342,GISOU,MOMAT,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2021-11-06 00:00:00.000,11.89
241484,16342,GISOU,MOMAT,SACOLÃO SAHEKI,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M6,IPC,"110371001",2021-11-26 00:00:00.000,10.29
1599518,97554,ANMEL,ANMEL,SDB COMERCIO DE ALIMENTOS LTDA,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M8,IPC,"110371001",2023-11-18 00:00:00.000,5.99
1599518,97554,ANMEL,ANMEL,SDB COMERCIO DE ALIMENTOS LTDA,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M8,IPC,"110371001",2023-03-18 00:00:00.000,6.99
1599518,97554,ANMEL,ANMEL,SDB COMERCIO DE ALIMENTOS LTDA,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M8,IPC,"110371001",2023-03-28 00:00:00.000,6.99
1607264,95404,ANMEL,GALAA,comercial de alimentos superbom Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M4,IPC,"110371001",2023-11-14 00:00:00.000,7.99
1607264,95404,ANMEL,ANMEL,comercial de alimentos superbom Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M4,IPC,"110371001",2023-09-14 00:00:00.000,8.99
1607264,95404,ANMEL,ANMEL,comercial de alimentos superbom Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M4,IPC,"110371001",2023-05-14 00:00:00.000,10.99
1607264,95404,ANMEL,PALOP,comercial de alimentos superbom Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M4,IPC,"110371001",2023-04-24 00:00:00.000,11.99
1582764,94842,ANMEL,ANMEL,costa e Silva comércio de alimentos Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M9,IPC,"110371001",2023-10-09 00:00:00.000,6.99
1582764,94842,ANMEL,ANMEL,costa e Silva comércio de alimentos Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M9,IPC,"110371001",2023-09-29 00:00:00.000,6.99
1582764,94842,ANMEL,ANMEL,costa e Silva comércio de alimentos Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M9,IPC,"110371001",2023-07-09 00:00:00.000,7.99
1582764,94842,ANMEL,ANMEL,costa e Silva comércio de alimentos Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M9,IPC,"110371001",2022-12-09 00:00:00.000,4.99
1582764,94842,ANMEL,ANMEL,costa e Silva comércio de alimentos Ltda.,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,HORTOMERCADOS,VV,M9,IPC,"110371001",2022-11-29 00:00:00.000,4.99
1430382,85397,ANMEL,GALAA,[BIG ÁGUAS CLARAS] - WMB SUPERMERCADOS DO BRASIL LTDA,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M2,IPC,"110371001",2023-11-02 00:00:00.000,7.99
1430382,85397,ANMEL,ANMEL,[BIG ÁGUAS CLARAS] - WMB SUPERMERCADOS DO BRASIL LTDA,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M2,IPC,"110371001",2023-07-02 00:00:00.000,4.99
1430382,85397,ANMEL,ANMEL,[BIG ÁGUAS CLARAS] - WMB SUPERMERCADOS DO BRASIL LTDA,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M2,IPC,"110371001",2023-03-12 00:00:00.000,7.69
1430382,85397,ANMEL,LAMOR,[BIG ÁGUAS CLARAS] - WMB SUPERMERCADOS DO BRASIL LTDA,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M2,IPC,"110371001",2021-12-12 00:00:00.000,9.19
1441836,85780,ANMEL,ANMEL,[SUPERMERCADO COMPER] - SDB COMÉRCIO DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M01,IPC,"110371001",2023-04-01 00:00:00.000,7.99
1441836,85780,ANMEL,MCBAR,[SUPERMERCADO COMPER] - SDB COMÉRCIO DE ALIMENTOS,452,TOMATE FRESCO OU REFRIGERADO,,,BR,CO,DF,BSA,U,,SUPERMERCADOS E HIPERMERCADOS,VV,M01,IPC,"110371001",2021-11-01 00:00:00.000,8.99
